房间封面,房间分类,房间标题,主播热度,主播ID
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/15/982d95180efa60a50b851fd7e86ca2f2.jpg,王者荣耀,KRKPL官方直播 VSG vs ESC,207.8万,王者荣耀韩国官方赛事
https://rpic.douyucdn.cn/asrpic/191015/5823968_1434.png,怪物猎人,每天陪伴的憨憨，3.04,2.3万,十一啊lll
https://rpic.douyucdn.cn/asrpic/191015/2353159_1433.png,lol云顶之弈,皇妹：(#^.^#),19万,单手解bras
https://rpic.douyucdn.cn/asrpic/191015/5126167_1434.png,王者荣耀,百星万战吕布巅峰赛1900！,9.6万,宇宙最强段某某
https://rpic.douyucdn.cn/live-cover/roomCover/2019/09/01/19fb717b75ba27b7c829613cfd1ea257_big.jpg,颜值,每天都要开心鸭～ 3234057,4.2万,是雨儿阿
https://rpic.douyucdn.cn/asrpic/191015/1269630_1433.png,王者荣耀,声优解说：不拿第一请举报主播 谢谢！,8.2万,清鸽鸽丶
https://rpic.douyucdn.cn/asrpic/191015/100_1433.png,绝地求生,【PCM】大师赛 决赛Day3 17点,178.7万,斗鱼绝地赛事
https://rpic.douyucdn.cn/asrpic/191015/78561_1433.png,绝地求生,雪龅突击队：你的快乐，我来转,123万,妃凌雪
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/14/13_20191014155358.jpg,交友,星娱乐交友,356.6万,星娛樂一阿Q交友
https://rpic.douyucdn.cn/asrpic/191015/7562568_1435.png,舞蹈,这谁能顶得住呀,19万,珑儿mm
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/14/dd1587ffc37bdd689af0fe5b12ef5229.jpg,王者荣耀,重播丨14日18点VG vs DYG,123万,王者荣耀官方赛事
https://rpic.douyucdn.cn/asrpic/191015/74751_1433.png,马里奥制造,我可能玩了假的马里奥,110.7万,超级小桀
https://rpic.douyucdn.cn/asrpic/191015/288016_1433.png,英雄联盟,S9小组赛第3日重播,110.7万,英雄联盟赛事
https://rpic.douyucdn.cn/asrpic/191015/5481502_3923404_6730a_2_1432.jpg,颜值,我知道你会来 而我在等你~,1651,猫玖小饼干
https://rpic.douyucdn.cn/asrpic/191015/5569515_1434.png,舞蹈,古灵精怪的臭妹妹,13.3万,猪不渣文文
https://rpic.douyucdn.cn/asrpic/191015/952595_1428.png,和平精英,最骚二指！雷神花降临,100.2万,Dy花老湿
https://rpic.douyucdn.cn/asrpic/191015/312212_1433.png,英雄联盟,找比心小姐姐打游戏,94.1万,智勋勋勋勋
https://rpic.douyucdn.cn/asrpic/191015/6862649_1434.png,欢乐麻将,新的一周努力啊,90.9万,暴Tui团丶臭帝帝
https://rpic.douyucdn.cn/live-cover/roomCover/2019/08/01/ccc898aef91599a2ab022234be529fb5_big.jpg,颜值,做好自己，做好的自己,136.4万,程心曲
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/13/7596767_20191013001140_small.jpg,颜值,想做你的太阳 7596767,122.8万,Zero悠然
https://rpic.douyucdn.cn/asrpic/191015/1144379_1428.png,王者荣耀,挑战：充电五分钟丶开黑两小时,89.5万,雷婷丶
https://rpic.douyucdn.cn/asrpic/191015/475252_1428.png,英雄联盟,云顶教父。吃鸡无数,84.3万,孙悟空丨兰林汉
https://rpic.douyucdn.cn/asrpic/191015/5395900_1429.png,王者荣耀,新版自我养猪流 坑哭队友,83.1万,A老回
https://rpic.douyucdn.cn/asrpic/191015/485503_1433.png,户外,『二出好戏』男儿当自强,118.4万,彡彡九户外
https://rpic.douyucdn.cn/asrpic/191015/244548_1433.png,户外,睿智兄弟_在广西来宾,105.2万,叶子户外
https://rpic.douyucdn.cn/asrpic/191015/16101_1433.png,英雄联盟,微笑：峡谷王者局！,70.9万,微笑
https://rpic.douyucdn.cn/asrpic/191015/441868_1428.png,英雄联盟,小马；虚空马刺配神枪手！,70万,小马Oo
https://rpic.douyucdn.cn/asrpic/191015/687423_1433.png,APEX英雄,YJJ-CSGO开箱,68.6万,yjjimpaopao
https://rpic.douyucdn.cn/asrpic/191015/4512675_5324159_0d4bf_2_1437.jpg,颜值,我是谁的小可爱呀,100.5万,猪猪莹妹儿丶
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/02/6673180_20191002023215_small.jpg,颜值,一百分甜味~聊天吗~,3.4万,篇篇呢
https://rpic.douyucdn.cn/asrpic/191015/84452_1428.png,足球游戏,阿飞)今日我要一张罗纳尔多,67.1万,主播阿飞
https://rpic.douyucdn.cn/asrpic/191015/19223_1428.png,绝地求生,【PP】今天又是元气满满的一天~,66.4万,气人主播QQQ
https://rpic.douyucdn.cn/asrpic/191015/4494106_1429.png,和平精英,抓到你了，笨猪猪~ 4494106,65.5万,Forever浪子断
https://rpic.douyucdn.cn/live-cover/appCovers/2019/09/04/4660064_20190904014648_small.jpg,颜值,最后的单纯,3.5万,李美子er
https://rpic.douyucdn.cn/asrpic/191015/7260758_1435.png,舞蹈,新舞蹈主播求关注呀,96.9万,亦亦ella
https://rpic.douyucdn.cn/asrpic/191015/296059_1433.png,绝地求生,你们的小王来了！,64.5万,4AM王欣
https://rpic.douyucdn.cn/asrpic/191015/93589_1433.png,炉石传说,异灵术：欢迎来到冷面魔男的直播间,63.8万,异灵术老师
https://rpic.douyucdn.cn/asrpic/191015/5503078_1434.png,多多自走棋,多多自走棋国际邀请赛中国区预选重播,62.8万,imba自走棋
https://rpic.douyucdn.cn/live-cover/roomCover/2019/08/02/f2fa6b7c0359ba7ace7e284fe0f023c9_big.jpg,颜值,越努力越幸运~ 781869,94.5万,美文咩
https://rpic.douyucdn.cn/asrpic/191015/447507_1433.png,户外,男儿当自强 337852,88.4万,洪湖小肖
https://rpic.douyucdn.cn/asrpic/191015/56040_1433.png,英雄联盟,油条：秒人流中单琴女,61.8万,主播油条
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/12/f762e39a404a33ac106775e13921bae4.jpg,DNF,抽打造，今天谁能拿走7套金秋套。,61.8万,DNF枪魂冰子
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/12/23589f016d47e42ae2be8ea72c9cba62.jpg,DNF,史诗为什么他就那么多！,60.8万,我是大坤坤啊
https://rpic.douyucdn.cn/asrpic/191015/7380797_1435.png,舞蹈,多幸运能和你相遇,12万,夏木ayo
https://rpic.douyucdn.cn/asrpic/191015/2720288_1433.png,二次元,午夜陪伴档,87.1万,白鹿姬o
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/08/02/160b729213ff4f0f528ed7d0ebb0c989.png,皇室战争,皇室战争职业联赛秋季赛常规赛,56.8万,Supercell游戏频道
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/07/03/4a6a2cd243d7ef564299c0d0e1b73cbd.jpg,数码科技,郑州80it：小白搞机防坑,55.9万,80it电脑网
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/09/23/ca35232f97a1f7d9a64b38c159f26e21.jpg,lol云顶之弈,云顶阴阳家新版本上分教学！！！！ ！,54.6万,卷子丶
https://rpic.douyucdn.cn/asrpic/191015/848337_1433.png,户外,八点开启11级抓阄抽奖俄罗斯深度七日游,82.2万,俄罗斯教父
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/03/6141959_20191003114736_small.jpg,颜值,要等到时间对，等大雁向南飞,6.3万,shine星雪
https://rpic.douyucdn.cn/asrpic/191015/5040227_1434.png,QQ飞车,Q飞S联赛常规赛第二周,53.8万,QQ飞车手游官方直播间
https://rpic.douyucdn.cn/asrpic/191015/432854_1433.png,数码科技,One Plus7T系列新品发布会,52.6万,斗鱼数码
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/14/8dd9a8820f92023a9b2a90c063d4142b.jpg,剑网3,重播：剑网3“凌雪藏锋”武学直播首秀,50.9万,剑网3官方直播
https://rpic.douyucdn.cn/live-cover/roomCover/2019/08/25/e25872ef620f8a5780570cbc98dd542f_big.png,颜值,在 5318931,6.5万,小梨emmm
